序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
2499,002785,万里石,24.71,-0.16,-0.04,32725.0,81201434.76,2.75,25.18,24.5,24.89,24.75,0.59,1.95,560.03,8.13,4970416500.0,4147320914.0,-0.04,-0.12,11.46,-18.12
2500,603177,德创环保,12.34,-0.16,-0.02,15754.0,19448252.0,2.02,12.49,12.24,12.37,12.36,1.01,0.77,664.26,6.13,2576468600.0,2519729280.0,-0.08,0.0,-10.51,-24.98
2501,601229,上海银行,6.14,-0.16,-0.01,255211.0,156897739.0,0.81,6.18,6.13,6.16,6.15,1.13,0.18,3.4,0.42,87228940298.0,85024368890.0,-0.16,0.0,6.41,11.43
2502,600707,彩虹股份,6.09,-0.16,-0.01,226909.0,138577934.0,1.97,6.18,6.06,6.1,6.1,1.43,0.63,-40.47,1.13,21853293468.0,21848908668.0,-0.33,0.0,6.84,47.1
2503,301219,腾远钴业,36.48,-0.16,-0.06,15532.0,57097573.77,2.41,37.3,36.42,36.62,36.54,1.3,0.9,66.53,1.28,10751282799.0,6282715031.0,-0.05,-0.05,-5.64,-29.98
2504,603618,杭电股份,6.07,-0.16,-0.01,43607.0,26400807.0,1.15,6.09,6.02,6.09,6.08,0.96,0.63,24.2,1.56,4194749727.0,4194749727.0,0.17,0.33,-4.86,16.51
2505,603928,兴业股份,12.12,-0.16,-0.02,11576.0,14088183.0,2.14,12.33,12.07,12.18,12.14,1.03,0.57,26.0,1.62,2443392000.0,2443392000.0,0.17,0.25,0.33,14.23
2506,688141,杰华特,30.26,-0.16,-0.05,6198.0,18855052.0,1.85,30.74,30.18,30.33,30.31,0.71,1.18,-35.43,4.57,13522588800.0,1582795537.0,0.0,0.0,-22.57,-36.29
2507,688059,华锐精密,90.75,-0.17,-0.15,1328.0,12032087.0,1.96,91.3,89.52,90.02,90.9,0.2,0.38,44.83,5.41,5591228561.0,3210565661.0,-0.17,-0.17,12.04,-20.49
2508,300464,星徽股份,6.05,-0.17,-0.01,26751.0,16253736.45,1.82,6.14,6.03,6.08,6.06,0.71,0.85,-69.05,4.76,2847188461.0,1905625176.0,0.17,0.17,-7.49,0.17
2509,688127,蓝特光学,18.13,-0.17,-0.03,33152.0,60020526.0,2.09,18.3,17.92,18.1,18.16,0.87,0.83,164.57,4.76,7280645400.0,7280645400.0,0.06,0.17,6.65,13.81
2510,600860,京城股份,12.08,-0.17,-0.02,45480.0,55168765.0,1.57,12.25,12.06,12.11,12.1,0.83,1.06,-110.31,6.25,6550573135.0,5172618347.0,0.08,0.08,-5.25,-12.65
2511,601567,三星医疗,18.0,-0.17,-0.03,72227.0,130073916.0,1.55,18.18,17.9,18.15,18.03,0.62,0.52,14.61,2.55,25417261278.0,25108438554.0,0.11,0.28,20.0,37.09
2512,830779,武汉蓝电,23.94,-0.17,-0.04,284.0,679453.63,0.67,24.06,23.9,24.0,23.98,0.75,0.23,16.37,2.98,1369368000.0,291426432.0,0.17,0.17,-5.38,-29.79
2513,002493,荣盛石化,11.92,-0.17,-0.02,164217.0,196626073.5,1.76,12.1,11.89,11.94,11.94,1.28,0.17,-53.56,2.69,120696258000.0,113219512500.0,0.0,-0.08,2.41,-1.89
2514,000679,大连友谊,5.93,-0.17,-0.01,305654.0,180635840.68,8.25,6.18,5.69,5.86,5.94,0.95,8.58,-189.21,5.81,2113452000.0,2113452000.0,0.17,0.17,10.43,-17.41
2515,002729,好利科技,17.66,-0.17,-0.03,20137.0,35643454.5,2.15,17.94,17.56,17.72,17.69,1.16,1.15,196.13,6.75,3231248787.0,3098689136.0,0.06,0.23,-16.54,-30.28
2516,600499,科达制造,11.71,-0.17,-0.02,275596.0,326862892.0,2.9,12.02,11.68,11.77,11.73,1.22,1.41,9.0,2.06,22815997369.0,22815997369.0,0.09,0.09,2.99,-13.45
2517,688309,恒誉环保,23.37,-0.17,-0.04,5567.0,12992773.0,2.01,23.58,23.11,23.38,23.41,0.73,0.7,32.04,2.54,1869850830.0,1869850830.0,0.04,0.0,12.63,18.69
2518,300854,中兰环保,17.44,-0.17,-0.03,12048.0,21162317.16,2.86,17.86,17.36,17.48,17.47,0.7,2.62,279.29,1.8,1756016160.0,800929820.0,0.11,-0.06,8.32,14.51
2519,872392,佳合科技,5.8,-0.17,-0.01,204.0,118680.4,0.52,5.83,5.8,5.8,5.81,1.36,0.13,15.41,1.14,340460000.0,87767920.0,0.0,0.0,-7.05,-23.68
2520,002469,三维化学,5.78,-0.17,-0.01,41484.0,24029814.5,1.73,5.86,5.76,5.81,5.79,0.98,0.67,16.33,1.47,3750426001.0,3575954696.0,-0.17,0.17,-7.07,2.85
2521,600874,创业环保,5.76,-0.17,-0.01,60132.0,34647126.0,1.56,5.82,5.73,5.8,5.77,0.86,0.49,10.33,1.04,9045608170.0,7087208170.0,0.0,0.17,-0.86,-3.19
2522,300405,科隆股份,5.76,-0.17,-0.01,25152.0,14565120.3,2.25,5.87,5.74,5.79,5.77,0.77,1.15,-62.36,2.62,1637986585.0,1260444712.0,-0.17,0.0,3.04,7.66
2523,000783,长江证券,5.76,-0.17,-0.01,148858.0,85993563.5,1.21,5.82,5.75,5.8,5.77,0.59,0.27,14.4,1.04,31852568673.0,31852568673.0,-0.17,-0.17,-0.52,10.56
2524,000059,华锦股份,5.75,-0.17,-0.01,101104.0,58337892.0,1.91,5.84,5.73,5.79,5.76,1.25,0.63,-6.81,0.68,9196794588.0,9196794588.0,0.0,-0.17,-9.16,-13.79
2525,603682,锦和商管,5.74,-0.17,-0.01,45122.0,26038635.0,1.91,5.83,5.72,5.75,5.75,0.65,0.95,15.87,2.45,2712150000.0,2712150000.0,-0.17,0.0,11.24,10.6
2526,003035,南网能源,5.73,-0.17,-0.01,68049.0,39136893.5,1.39,5.8,5.72,5.75,5.74,1.01,0.42,55.85,3.28,21704545450.0,9374627267.0,0.0,0.0,-17.91,1.24
2527,300040,九洲集团,5.71,-0.17,-0.01,46178.0,26440284.5,1.4,5.77,5.69,5.72,5.72,1.24,1.0,29.03,1.21,3355710106.0,2635694032.0,0.0,0.18,-10.08,-0.87
2528,603070,万控智造,17.09,-0.18,-0.03,15363.0,26208115.0,1.93,17.28,16.95,17.27,17.12,0.93,1.89,40.39,3.43,6853090000.0,1385759073.0,0.0,0.06,-14.46,-2.45
2529,688367,工大高科,17.04,-0.18,-0.03,7302.0,12489831.0,2.4,17.39,16.98,17.06,17.07,1.01,1.11,89.82,2.65,1484211946.0,1116340327.0,-0.12,0.0,-5.23,9.09
2530,600549,厦门钨业,17.02,-0.18,-0.03,51245.0,87605994.0,1.41,17.25,17.01,17.05,17.05,0.93,0.36,15.25,2.33,24142175584.0,24015414028.0,-0.06,-0.06,-10.98,-11.35
2531,834682,球冠电缆,5.67,-0.18,-0.01,5477.0,3103485.37,1.94,5.74,5.63,5.7,5.68,0.7,0.69,10.22,1.18,1179360000.0,453220677.0,0.0,0.18,9.46,17.63
2532,002330,得利斯,5.65,-0.18,-0.01,51787.0,29410473.3,1.59,5.73,5.64,5.68,5.66,0.87,0.82,70.03,1.48,3593681596.0,3588759740.0,0.0,0.0,-3.25,-25.66
2533,002801,微光股份,22.41,-0.18,-0.04,9083.0,20315568.69,1.6,22.54,22.18,22.46,22.45,1.33,0.78,15.94,3.26,5146053120.0,2595138507.0,0.0,0.18,-14.47,-7.82
2534,600236,桂冠电力,5.6,-0.18,-0.01,64152.0,36057155.0,1.25,5.65,5.58,5.61,5.61,1.5,0.08,24.17,2.72,44141315691.0,44141315691.0,0.0,0.18,0.0,0.72
2535,001333,光华股份,22.38,-0.18,-0.04,5105.0,11453865.0,1.03,22.56,22.33,22.35,22.42,0.66,1.6,25.84,1.87,2864640000.0,716160000.0,-0.18,0.0,-11.12,-21.34
2536,002588,史丹利,5.59,-0.18,-0.01,47736.0,26721250.0,1.07,5.64,5.58,5.6,5.6,0.78,0.47,8.11,1.12,6466981560.0,5727457373.0,-0.18,-0.18,-9.98,-6.99
2537,002519,银河电子,5.56,-0.18,-0.01,155256.0,86370159.64,1.08,5.6,5.54,5.59,5.57,0.97,1.39,30.49,2.03,6262955793.0,6206627311.0,0.18,0.0,-16.27,24.94
2538,000737,北方铜业,5.5,-0.18,-0.01,56937.0,31374701.58,1.63,5.57,5.48,5.52,5.51,0.89,0.78,15.33,2.11,9748508919.0,3994493921.0,0.0,0.18,-2.48,7.0
2539,002206,海 利 得,5.48,-0.18,-0.01,66971.0,36970389.02,2.19,5.59,5.47,5.53,5.49,1.14,0.73,18.63,1.8,6399309566.0,5019655126.0,0.0,0.0,1.29,-5.84
2540,600864,哈投股份,5.47,-0.18,-0.01,204518.0,111999499.0,1.28,5.52,5.45,5.48,5.48,0.47,0.98,53.17,0.94,11380720744.0,11380720744.0,0.18,0.0,5.39,16.38
2541,688132,邦彦技术,21.78,-0.18,-0.04,7288.0,15882015.0,1.88,22.08,21.67,21.73,21.82,0.91,0.68,102.56,2.08,3315464943.0,2329882089.0,-0.32,0.37,-18.82,-10.74
2542,301349,信德新材,43.54,-0.18,-0.08,9173.0,40092567.56,2.38,44.37,43.33,43.69,43.62,0.67,2.18,100.98,1.61,4441080000.0,1834743076.0,-0.02,-0.02,-16.69,-40.33
2543,601997,贵阳银行,5.44,-0.18,-0.01,166625.0,90816436.0,1.1,5.49,5.43,5.47,5.45,0.62,0.47,3.47,0.37,19889717533.0,19415503556.0,-0.18,0.18,4.82,4.82
2544,603718,海利生物,10.79,-0.19,-0.02,29285.0,31581161.0,1.67,10.9,10.72,10.9,10.81,0.85,0.45,77.76,5.57,6948760000.0,6948760000.0,0.28,0.28,14.06,10.55
2545,603051,鹿山新材,32.17,-0.19,-0.06,7951.0,25755067.0,2.26,32.86,32.13,32.46,32.23,0.71,1.62,-22.39,2.42,3002072230.0,1574371008.0,-0.03,-0.03,-33.62,-45.94
2546,002249,大洋电机,5.34,-0.19,-0.01,150525.0,80281573.38,1.12,5.36,5.3,5.33,5.35,1.06,0.84,16.49,1.48,12776102382.0,9514282128.0,0.0,0.19,-4.98,5.95
2547,002695,煌上煌,10.53,-0.19,-0.02,38565.0,40761161.0,2.27,10.72,10.48,10.62,10.55,0.99,0.83,35.51,2.05,5864652763.0,4889642429.0,-0.19,-0.19,-5.56,-24.08
2548,603360,百傲化学,10.49,-0.19,-0.02,18741.0,19694155.0,2.0,10.65,10.44,10.52,10.51,0.93,0.52,9.95,2.58,3779737824.0,3751110404.0,0.1,0.1,2.84,-12.44
2549,300796,贝斯美,15.72,-0.19,-0.03,62626.0,98403461.2,3.43,16.1,15.56,15.84,15.75,0.64,1.73,36.13,3.41,5677165948.0,5677165948.0,0.06,0.13,35.52,40.86
2550,002315,焦点科技,31.4,-0.19,-0.06,59853.0,189021538.6,2.23,31.97,31.27,31.55,31.46,0.42,3.03,25.82,4.44,9797041906.0,6196574722.0,-0.06,0.1,-17.99,83.52
2551,301172,君逸数码,36.53,-0.19,-0.07,15673.0,57263664.55,1.17,36.78,36.35,36.36,36.6,0.67,5.67,73.93,3.14,4500496000.0,1010608624.0,-0.03,0.0,16.6,16.6
2552,601366,利群股份,5.21,-0.19,-0.01,28876.0,15072474.0,1.72,5.28,5.19,5.22,5.22,0.94,0.34,90.28,1.12,4426549647.0,4385973636.0,-0.38,0.19,-3.52,-15.42
2553,600390,五矿资本,5.16,-0.19,-0.01,202206.0,104552689.0,1.93,5.24,5.14,5.17,5.17,0.75,0.45,7.49,0.56,23210017768.0,23210017768.0,-0.19,0.0,-6.69,1.57
2554,000722,湖南发展,10.28,-0.19,-0.02,23972.0,24688110.0,1.55,10.4,10.24,10.33,10.3,0.9,0.52,54.87,1.5,4771547139.0,4771547139.0,0.0,0.1,-16.15,-22.88
2555,000935,四川双马,15.37,-0.19,-0.03,18616.0,28618778.21,2.08,15.58,15.26,15.4,15.4,0.55,0.24,12.91,1.69,11734077918.0,11734077918.0,0.07,-0.07,-7.96,-26.81
2556,300703,创源股份,10.23,-0.2,-0.02,23070.0,23548909.0,1.56,10.3,10.14,10.29,10.25,0.9,1.37,22.08,2.37,1861856317.0,1717301036.0,0.2,0.29,7.68,5.03
2557,600173,卧龙地产,5.08,-0.2,-0.01,39464.0,19944855.0,1.18,5.09,5.03,5.08,5.09,0.78,0.56,8.86,0.93,3558571720.0,3558114520.0,0.79,0.79,-5.58,0.0
2558,300746,汉嘉设计,10.12,-0.2,-0.02,23925.0,24316660.0,2.17,10.3,10.08,10.18,10.14,0.5,1.08,56.43,1.85,2284471879.0,2245468296.0,0.2,0.3,-6.3,18.92
2559,601238,广汽集团,10.07,-0.2,-0.02,156152.0,157128637.0,1.39,10.14,10.0,10.06,10.09,1.16,0.21,17.8,0.92,105591006301.0,73820315850.0,-0.1,0.0,-7.44,-6.76
2560,600063,皖维高新,5.03,-0.2,-0.01,89014.0,45000020.0,1.79,5.11,5.02,5.05,5.04,0.88,0.46,15.66,1.39,10861024351.0,9687250301.0,0.0,0.0,-3.08,-11.75
2561,300693,盛弘股份,29.98,-0.2,-0.06,81127.0,244270408.1,2.86,30.66,29.8,30.04,30.04,0.86,3.28,25.55,7.48,9272625876.0,7422580192.0,0.1,0.13,-27.23,-17.0
2562,300080,易成新能,4.97,-0.2,-0.01,54733.0,27291454.82,1.41,5.03,4.96,4.99,4.98,0.77,0.45,64.06,1.84,10815462647.0,6090694977.0,0.0,0.0,-3.87,6.65
2563,301287,康力源,39.42,-0.2,-0.08,5647.0,22317726.33,1.22,39.79,39.31,39.59,39.5,0.67,3.39,17.37,2.48,2628131400.0,657131400.0,0.03,0.08,-2.76,-1.72
2564,002715,登云股份,14.78,-0.2,-0.03,10044.0,14824599.0,2.57,15.0,14.62,14.87,14.81,0.64,0.73,311.91,5.15,2039640000.0,2039640000.0,0.2,0.14,0.14,-19.85
2565,002485,*ST雪发,4.91,-0.2,-0.01,5836.0,2861835.0,1.63,4.93,4.85,4.91,4.92,0.5,0.11,26.8,1.86,2671040000.0,2671040000.0,-0.2,-0.2,14.99,59.42
2566,000576,甘化科工,9.79,-0.2,-0.02,18989.0,18615398.6,1.22,9.87,9.75,9.85,9.81,0.92,0.44,59.36,2.41,4333364676.0,4214394197.0,0.0,0.0,-6.41,-3.64
2567,600106,重庆路桥,4.88,-0.2,-0.01,45331.0,22090657.0,1.02,4.91,4.86,4.91,4.89,0.53,0.34,24.5,1.38,6485642303.0,6485642303.0,0.21,0.21,6.32,-0.61
2568,002441,众业达,9.69,-0.21,-0.02,41250.0,40156797.0,1.75,9.85,9.68,9.7,9.71,1.13,1.03,12.23,1.12,5276627571.0,3865144574.0,-0.1,0.0,-10.53,21.89
2569,300528,幸福蓝海,9.68,-0.21,-0.02,171718.0,168596970.8,5.57,10.17,9.63,9.86,9.7,0.94,4.61,-154.87,17.51,3606845963.0,3606845963.0,-0.21,-0.1,-10.7,15.1
2570,832278,鹿得医疗,4.82,-0.21,-0.01,483.0,233317.67,1.66,4.87,4.79,4.87,4.83,1.0,0.07,21.42,2.25,848320000.0,351804088.0,0.0,0.0,-4.74,-12.36
2571,601700,风范股份,4.82,-0.21,-0.01,40589.0,19633104.0,1.04,4.87,4.82,4.83,4.83,1.08,0.36,99.87,2.1,5505629094.0,5505629094.0,0.0,-0.21,-8.71,-5.49
2572,301042,安联锐视,38.5,-0.21,-0.08,24840.0,96147081.0,3.89,39.38,37.88,38.53,38.58,0.68,5.87,32.42,2.39,2670350722.0,1628280847.0,0.13,0.23,16.91,25.78
2573,300626,华瑞股份,9.58,-0.21,-0.02,18601.0,17775036.0,2.29,9.69,9.47,9.6,9.6,0.86,1.05,409.16,2.81,1724400000.0,1698548370.0,0.0,0.21,-1.44,22.19
2574,000055,方大集团,4.79,-0.21,-0.01,54130.0,25943063.5,1.04,4.82,4.77,4.81,4.8,0.94,0.8,14.12,0.88,5143857547.0,3237342715.0,-0.21,0.0,-0.83,2.35
2575,301115,建科股份,19.15,-0.21,-0.04,7848.0,15035624.03,1.46,19.28,19.0,19.25,19.19,0.94,0.8,37.7,1.36,3550122750.0,1886141180.0,0.0,0.05,-16.23,-21.77
2576,603333,尚纬股份,4.78,-0.21,-0.01,49022.0,23522450.0,1.88,4.85,4.76,4.82,4.79,0.76,0.79,62.94,1.39,2970901861.0,2970901861.0,0.0,0.0,-4.02,-8.78
2577,601200,上海环境,9.56,-0.21,-0.02,37570.0,35978277.0,1.25,9.65,9.53,9.62,9.58,0.97,0.33,17.65,1.04,10724967671.0,10724967671.0,0.0,-0.1,-1.44,8.27
2578,603722,阿科力,47.78,-0.21,-0.1,8813.0,42395436.0,3.76,49.11,47.31,48.11,47.88,0.53,1.0,129.82,5.57,4201653750.0,4201653750.0,0.02,0.19,-0.67,24.72
2579,300760,迈瑞医疗,271.58,-0.21,-0.57,31113.0,850514248.02,1.8,276.49,271.58,274.15,272.15,0.84,0.26,25.56,9.83,329274833783.0,329274568992.0,-0.05,-0.13,-7.37,-12.81
2580,600225,卓朗科技,4.75,-0.21,-0.01,90639.0,43249667.0,1.26,4.81,4.75,4.76,4.76,0.83,0.27,325.37,7.18,16204123224.0,16191920721.0,0.0,0.0,-26.7,-25.43
2581,301216,万凯新材,14.25,-0.21,-0.03,31286.0,44784342.9,1.82,14.45,14.19,14.33,14.28,1.04,1.1,10.49,1.3,7340076675.0,4068953507.0,0.07,-0.14,-13.64,-24.68
2582,600901,江苏金租,4.73,-0.21,-0.01,273710.0,129516810.0,2.95,4.82,4.68,4.72,4.74,1.09,0.65,7.61,1.24,20078507732.0,20016702260.0,0.21,0.21,16.5,29.23
2583,600650,锦江在线,9.38,-0.21,-0.02,10768.0,10137890.0,1.6,9.51,9.36,9.4,9.4,0.93,0.28,34.23,1.36,5174102804.0,3663453504.0,0.21,0.21,-0.32,-11.17
2584,600480,凌云股份,9.36,-0.21,-0.02,109075.0,101465923.0,2.13,9.42,9.22,9.42,9.38,1.05,1.19,13.64,1.31,8804071318.0,8582796238.0,0.0,0.0,18.03,11.43
2585,301076,新瀚新材,23.4,-0.21,-0.05,7293.0,17103115.06,1.32,23.62,23.31,23.42,23.45,0.8,1.05,30.37,2.93,3147861600.0,1622275785.0,0.21,0.09,19.51,35.03
2586,600704,物产中大,4.64,-0.22,-0.01,333921.0,154734322.0,1.94,4.69,4.6,4.65,4.65,1.33,0.65,6.42,0.73,24097199866.0,23732588666.0,0.0,-0.22,-3.93,-0.43
2587,600711,盛屯矿业,4.62,-0.22,-0.01,162600.0,75477690.0,1.94,4.7,4.61,4.63,4.63,1.12,0.52,44.1,1.0,14468183176.0,14426732074.0,0.0,0.0,-7.78,-21.56
2588,837212,智新电子,4.61,-0.22,-0.01,1172.0,539302.82,1.3,4.64,4.58,4.61,4.62,0.91,0.22,26.9,1.23,489121000.0,240533665.0,0.44,0.44,-11.0,-32.11
2589,600358,国旅联合,4.61,-0.22,-0.01,59145.0,27486104.0,2.38,4.7,4.59,4.6,4.62,0.9,1.17,244.93,12.27,2327758003.0,2327758003.0,-0.22,0.0,-14.94,-32.99
2590,688005,容百科技,41.46,-0.22,-0.09,33352.0,139574857.0,2.62,42.53,41.44,41.53,41.55,0.92,1.18,26.47,2.35,20077763179.0,11763777895.0,-0.02,-0.02,-24.52,-39.43
2591,002026,山东威达,9.19,-0.22,-0.02,35547.0,32602297.0,1.63,9.26,9.11,9.22,9.21,0.89,0.83,28.54,1.23,4094286232.0,3933110266.0,0.0,0.11,0.33,-2.55
2592,002778,中晟高科,13.78,-0.22,-0.03,12497.0,17263044.0,1.88,13.97,13.71,13.83,13.81,0.91,1.01,-483.35,2.98,1719100474.0,1700883176.0,0.07,0.0,-6.13,-2.96
2593,831167,鑫汇科,9.18,-0.22,-0.02,31.0,28387.16,0.65,9.18,9.12,9.12,9.2,0.29,0.02,24.68,1.84,458843398.0,185548850.0,0.22,0.22,-4.97,3.38
2594,838262,太湖雪,9.15,-0.22,-0.02,325.0,298168.61,1.31,9.22,9.1,9.21,9.17,0.43,0.25,15.47,1.58,486457536.0,119836891.0,-0.11,-0.11,5.41,-0.87
2595,600099,林海股份,9.11,-0.22,-0.02,17152.0,15707404.0,1.42,9.22,9.09,9.18,9.13,0.93,0.78,103.13,3.9,1996183200.0,1996183200.0,0.0,0.11,-2.25,4.59
2596,300008,天海防务,4.54,-0.22,-0.01,269476.0,122072891.68,1.54,4.57,4.5,4.54,4.55,1.15,1.88,63.17,4.16,7845252264.0,6497512122.0,0.22,0.22,-12.36,15.52
2597,601118,海南橡胶,4.52,-0.22,-0.01,156970.0,71294916.0,1.99,4.59,4.5,4.55,4.53,1.03,0.37,-35.85,2.05,19343013642.0,19343013642.0,0.0,0.22,-2.8,3.2
2598,831526,凯华材料,4.48,-0.22,-0.01,1431.0,640650.73,1.56,4.52,4.45,4.52,4.49,1.16,0.58,22.24,1.85,370496000.0,110566705.0,0.0,0.0,-0.88,10.07
2599,688260,昀冢科技,17.76,-0.22,-0.04,12168.0,21638486.0,2.7,17.99,17.51,17.85,17.8,0.88,1.79,-21.83,5.25,2131200000.0,1209744778.0,-0.45,0.17,-0.56,27.68
2600,603039,泛微网络,53.2,-0.23,-0.12,17983.0,94951464.0,2.63,53.5,52.1,52.8,53.32,1.04,0.69,179.68,6.89,13864083484.0,13864083484.0,0.21,0.17,-28.3,5.89
2601,600825,新华传媒,4.43,-0.23,-0.01,80266.0,35782258.0,1.35,4.49,4.43,4.44,4.44,0.87,0.77,67.56,1.83,4628853176.0,4628853176.0,0.0,-0.23,-5.54,11.59
2602,000599,青岛双星,4.42,-0.23,-0.01,70943.0,31182100.0,2.03,4.44,4.35,4.43,4.43,1.07,0.87,-13.74,1.65,3610074723.0,3609927766.0,0.0,0.23,1.14,5.49
2603,000800,一汽解放,8.83,-0.23,-0.02,79700.0,70126494.94,1.92,8.87,8.7,8.83,8.85,1.14,0.17,51.01,1.7,40947644474.0,40816807468.0,-0.11,0.0,0.91,14.23
2604,603200,上海洗霸,17.58,-0.23,-0.04,7958.0,14029739.0,1.02,17.74,17.56,17.63,17.62,0.62,0.46,68.11,3.4,3064706369.0,3064706369.0,-0.06,0.0,-16.88,6.55
2605,000006,深振业Ａ,4.38,-0.23,-0.01,116335.0,51189513.88,1.82,4.45,4.37,4.4,4.39,0.73,0.86,348.31,0.76,5912978301.0,5912944794.0,0.0,0.0,-1.13,-29.47
2606,300173,福能东方,4.37,-0.23,-0.01,72145.0,31604444.0,1.6,4.41,4.34,4.38,4.38,0.93,0.98,97.43,3.59,3210751300.0,3209623849.0,0.0,0.0,-2.24,1.16
2607,000886,海南高速,4.37,-0.23,-0.01,59910.0,26275216.7,1.6,4.43,4.36,4.41,4.38,0.69,0.61,50.91,1.44,4321179671.0,4262944605.0,-0.23,0.0,-13.64,-8.96
2608,300407,凯发电气,8.7,-0.23,-0.02,36282.0,31536709.05,1.49,8.77,8.64,8.74,8.72,0.96,1.61,40.8,1.76,2768344289.0,1964637950.0,0.12,0.23,-10.31,22.02
2609,603897,长城科技,17.3,-0.23,-0.04,12542.0,21719500.0,1.33,17.43,17.2,17.28,17.34,0.96,0.61,28.62,1.36,3571337281.0,3571337281.0,0.06,0.0,-8.9,-15.4
2610,600121,郑州煤电,4.32,-0.23,-0.01,99531.0,43070307.0,1.15,4.36,4.31,4.35,4.33,0.65,0.82,56.63,3.09,5263540004.0,5263540004.0,-0.23,0.0,-9.43,-14.29
2611,603615,茶花股份,8.63,-0.23,-0.02,13750.0,11881722.0,2.31,8.76,8.56,8.7,8.65,0.62,0.57,244.92,1.76,2086906600.0,2086906600.0,0.35,0.0,-7.0,10.08
2612,300423,昇辉科技,8.59,-0.23,-0.02,48184.0,41646446.0,2.32,8.75,8.55,8.65,8.61,1.36,1.48,-4.16,1.61,4273621981.0,2787625503.0,-0.12,0.0,-27.94,-7.63
2613,300592,华凯易佰,25.68,-0.23,-0.06,25240.0,65101671.0,2.21,26.13,25.56,25.9,25.74,0.52,1.6,17.85,3.63,7426029947.0,4047446756.0,-0.19,0.04,-8.58,69.5
2614,600882,妙可蓝多,17.05,-0.23,-0.04,34977.0,59777677.0,2.05,17.33,16.98,17.15,17.09,0.66,0.68,153.33,1.95,8760147581.0,8730514681.0,0.06,0.12,-22.99,-46.45
2615,836871,派特尔,4.26,-0.23,-0.01,155.0,65773.21,0.7,4.28,4.25,4.26,4.27,0.43,0.07,15.09,1.35,314122244.0,92316960.0,0.0,0.0,-6.17,-10.13
2616,300803,指南针,59.49,-0.23,-0.14,79337.0,475927422.39,2.33,60.8,59.41,59.6,59.63,0.54,1.97,661.45,13.61,24302786327.0,24018618124.0,-0.07,-0.07,24.25,30.12
2617,600328,中盐化工,8.49,-0.24,-0.02,77853.0,66308085.0,1.65,8.61,8.47,8.53,8.51,0.93,0.54,8.4,1.1,12499188459.0,12353774532.0,-0.12,-0.12,-5.88,-22.25
2618,600982,宁波能源,4.24,-0.24,-0.01,39550.0,16769407.0,1.18,4.27,4.22,4.24,4.25,0.75,0.36,11.18,1.16,4738740536.0,4694542810.0,0.24,0.47,-11.85,2.17
2619,833819,颖泰生物,4.22,-0.24,-0.01,4594.0,1936508.43,0.71,4.23,4.2,4.23,4.23,0.82,0.04,17.23,0.87,5172876000.0,5098058565.0,0.0,0.48,-7.86,-18.69
2620,301288,清研环境,21.03,-0.24,-0.05,18815.0,39807893.15,2.42,21.44,20.93,21.09,21.08,0.92,4.0,90.59,2.72,2271450300.0,990364192.0,-0.05,0.0,20.72,26.31
2621,300715,凯伦股份,12.56,-0.24,-0.03,10839.0,13668664.2,2.14,12.79,12.52,12.79,12.59,0.53,0.39,43.79,2.0,4834464928.0,3503123454.0,0.08,0.16,-9.64,-6.62
2622,301153,中科江南,62.56,-0.24,-0.15,9457.0,59216373.18,2.17,63.38,62.02,62.7,62.71,0.59,0.83,57.51,7.76,12161664000.0,7155078538.0,0.06,0.16,-13.83,6.79
2623,600577,精达股份,4.16,-0.24,-0.01,149040.0,62005204.0,1.44,4.19,4.13,4.16,4.17,0.73,0.75,20.75,1.72,8649355820.0,8302689154.0,0.24,0.24,-3.26,0.97
2624,000402,金 融 街,4.16,-0.24,-0.01,113982.0,47630640.07,1.44,4.21,4.15,4.18,4.17,0.72,0.38,-8.53,0.33,12433948413.0,12429368790.0,0.0,0.0,-8.37,-20.61
2625,002734,利民股份,8.31,-0.24,-0.02,13324.0,11125350.73,1.2,8.4,8.3,8.35,8.33,0.58,0.41,26.81,1.19,3084805899.0,2701397316.0,-0.12,-0.12,-11.78,-8.78
2626,603637,镇海股份,8.3,-0.24,-0.02,32770.0,27226977.0,1.32,8.36,8.25,8.32,8.32,1.04,1.34,23.13,2.24,2022530496.0,2022530496.0,0.0,0.12,-0.6,10.67
2627,002539,云图控股,8.28,-0.24,-0.02,48139.0,40059607.0,1.81,8.41,8.26,8.39,8.3,1.07,0.54,9.78,1.27,9999952749.0,7313617296.0,0.0,0.12,-9.31,-23.48
2628,600893,航发动力,37.14,-0.24,-0.09,61388.0,228275699.0,1.67,37.56,36.94,37.24,37.23,0.86,0.23,68.26,2.56,99000169999.0,98982733512.0,-0.03,-0.03,-11.68,-11.87
2629,301500,飞南资源,24.76,-0.24,-0.06,55224.0,136545694.87,1.65,24.97,24.56,24.87,24.82,0.45,14.7,40.91,2.29,9904247600.0,930181625.0,-0.04,0.12,3.3,3.3
2630,832175,东方碳素,8.24,-0.24,-0.02,432.0,355541.15,1.09,8.29,8.2,8.24,8.26,0.37,0.08,10.72,1.18,980560000.0,458995184.0,-0.12,-0.12,-12.71,-36.27
